Actif,Modèle,AUC,Seuil actuel,F1 @ seuil actuel,Seuil F1-max,F1-max,Seuil Youden,Youden J
AF,Logistic Regression,0.7465207547169811,0.5,0.6954887218045113,0.45,0.7145359019264448,0.45,0.377811320754717
AF,Random Forest,0.7386566037735848,0.4,0.7094594594594594,0.45,0.7190226876090751,0.45,0.38626415094339617
AF,XGBoost,0.7161056603773586,0.4,0.676818950930626,0.43,0.6862068965517242,0.53,0.350188679245283
TTE,Logistic Regression,0.7266565349544072,0.5,0.6897810218978102,0.17,0.7449856733524355,0.45,0.36481762917933136
TTE,Random Forest,0.7246048632218844,0.4,0.7102177554438861,0.3,0.7484472049689441,0.34,0.34414893617021275
TTE,XGBoost,0.7203343465045593,0.4,0.7106598984771574,0.05,0.7376830892143809,0.55,0.3570668693009119
RNO,Logistic Regression,0.7778415094339621,0.5,0.6948176583493282,0.34,0.7430441898527005,0.39,0.4224905660377358
RNO,Random Forest,0.7737509433962264,0.4,0.7370242214532872,0.31,0.7396825396825397,0.48,0.42747169811320757
RNO,XGBoost,0.7621132075471697,0.4,0.7263157894736842,0.39,0.735191637630662,0.39,0.4175849056603773
